"COLLECTION","CITATION_TYPE","TYPE_STATUS","NUMBER_CATALOG_ITEMS","NUMBER_OF_IMAGES","NUMBER_OF_TYPES_WITH_IMAGES","ENTERED_DATE"
"Mammalogy","Primary","Syntype","1","0","0","2003"
"Mammalogy","Primary","Syntype","1","0","0","2003"
"Mammalogy","Primary","Syntype","1","0","0","2003"
"Mammalogy","Primary","Syntype","1","0","0","2003"
"Mammalogy","Primary","Syntype","1","0","0","2003"
"Mammalogy","Primary","Syntype","1","0","0","2003"
"Mammalogy","Primary","Syntype","1","0","0","2003"
"Mammalogy","Primary","Syntype","1","0","0","2003"
"Mammalogy","Primary","Syntype","1","0","0","2003"
"Mammalogy","Primary","Syntype","1","0","0","2004"
"Mammalogy","Primary","Syntype","1","0","0","2004"
"Mammalogy","Primary","Syntype","1","0","0","2004"
"Mammalogy","Primary","Syntype","1","0","0","2004"
"Mammalogy","Primary","Syntype","1","1","1","2004"
"Mammalogy","Primary","Syntype","1","0","0","2004"
"Mammalogy","Primary","Syntype","1","0","0","2005"
"Mammalogy","Primary","Syntype","1","0","0","2005"
"Mammalogy","Primary","Syntype","1","0","0","2005"
"Mammalogy","Primary","Syntype","1","1","1","2005"
"Mammalogy","Primary","Syntype","1","0","0","2005"
"Mammalogy","Primary","Syntype","1","0","0","2005"
"Mammalogy","Primary","Syntype","1","0","0","2006"
"Mammalogy","Primary","Syntype","1","0","0","2006"
"Mammalogy","Primary","Syntype","1","0","0","2006"
"Mammalogy","Primary","Syntype","1","0","0","2006"
"Mammalogy","Primary","Syntype","1","0","0","2006"
"Mammalogy","Primary","Syntype","1","0","0","2006"
"Mammalogy","Primary","Syntype","1","0","0","2006"
"Mammalogy","Primary","Syntype","1","0","0","2006"
"Mammalogy","Primary","Syntype","1","0","0","2006"
"Mammalogy","Primary","Syntype","1","0","0","2006"
"Mammalogy","Primary","Syntype","1","0","0","2006"
"Mammalogy","Primary","Syntype","1","0","0","2006"
"Mammalogy","Primary","Syntype","2","0","0","2009"
"Mammalogy","Primary","Syntype","2","0","0","2012"
"Mammalogy","Primary","Syntype","1","1","1","2012"
"Mammalogy","Primary","Syntype","1","0","0","2012"
"Mammalogy","Primary","Syntype","1","0","0","2012"
"Mammalogy","Primary","Syntype","2","0","0","2012"
"Mammalogy","Voucher","Voucher","1","0","0","2003"
"Mammalogy","Voucher","Voucher","1","0","0","2003"
"Mammalogy","Voucher","Voucher","1","0","0","2003"
"Mammalogy","Voucher","Voucher","1","0","0","2003"
"Mammalogy","Voucher","Voucher","1","0","0","2005"
"Mammalogy","Voucher","Voucher","1","0","0","2005"
"Mammalogy","Primary","Holotype","1","0","0","2001"
"Mammalogy","Primary","Holotype","1","0","0","2001"
"Mammalogy","Primary","Holotype","1","0","0","2001"
"Mammalogy","Primary","Holotype","1","0","0","2001"
"Mammalogy","Primary","Holotype","1","0","0","2001"
"Mammalogy","Primary","Holotype","1","0","0","2001"
"Mammalogy","Primary","Holotype","1","0","0","2001"
"Mammalogy","Primary","Holotype","1","0","0","2001"
"Mammalogy","Primary","Holotype","1","0","0","2001"
"Mammalogy","Primary","Holotype","1","7","1","2002"
"Mammalogy","Primary","Holotype","1","5","1","2002"
"Mammalogy","Primary","Holotype","1","4","1","2002"
"Mammalogy","Primary","Holotype","1","0","0","2002"
"Mammalogy","Primary","Holotype","1","0","0","2002"
"Mammalogy","Primary","Holotype","1","0","0","2002"
"Mammalogy","Primary","Holotype","1","0","0","2002"
"Mammalogy","Primary","Holotype","1","0","0","2002"
"Mammalogy","Primary","Holotype","1","0","0","2002"
"Mammalogy","Primary","Holotype","1","0","0","2002"
"Mammalogy","Primary","Holotype","1","0","0","2002"
"Mammalogy","Primary","Holotype","1","0","0","2002"
"Mammalogy","Primary","Holotype","1","0","0","2002"
"Mammalogy","Primary","Holotype","1","0","0","2002"
"Mammalogy","Primary","Holotype","1","0","0","2002"
"Mammalogy","Primary","Holotype","1","0","0","2002"
"Mammalogy","Primary","Holotype","1","0","0","2002"
"Mammalogy","Primary","Holotype","1","0","0","2002"
"Mammalogy","Primary","Holotype","1","0","0","2002"
"Mammalogy","Primary","Holotype","1","0","0","2002"
"Mammalogy","Primary","Holotype","1","0","0","2002"
"Mammalogy","Primary","Holotype","1","0","0","2002"
"Mammalogy","Primary","Holotype","1","0","0","2002"
"Mammalogy","Primary","Holotype","1","0","0","2002"
"Mammalogy","Primary","Holotype","1","0","0","2002"
"Mammalogy","Primary","Holotype","1","0","0","2002"
"Mammalogy","Primary","Holotype","1","0","0","2002"
"Mammalogy","Primary","Holotype","1","0","0","2002"
"Mammalogy","Primary","Holotype","1","0","0","2002"
"Mammalogy","Primary","Holotype","1","0","0","2003"
"Mammalogy","Primary","Holotype","1","0","0","2003"
"Mammalogy","Primary","Holotype","1","0","0","2003"
"Mammalogy","Primary","Holotype","1","0","0","2003"
"Mammalogy","Primary","Holotype","1","0","0","2003"
"Mammalogy","Primary","Holotype","1","0","0","2003"
"Mammalogy","Primary","Holotype","1","0","0","2003"
"Mammalogy","Primary","Holotype","1","0","0","2003"
"Mammalogy","Primary","Holotype","1","0","0","2003"
"Mammalogy","Primary","Holotype","1","0","0","2003"
"Mammalogy","Primary","Holotype","1","0","0","2003"
"Mammalogy","Primary","Holotype","1","0","0","2003"
"Mammalogy","Primary","Holotype","1","0","0","2003"
"Mammalogy","Primary","Holotype","1","0","0","2003"
"Mammalogy","Primary","Holotype","1","10","1","2003"
"Mammalogy","Primary","Holotype","1","0","0","2003"
"Mammalogy","Primary","Holotype","1","0","0","2003"
"Mammalogy","Primary","Holotype","1","0","0","2003"
"Mammalogy","Primary","Holotype","1","0","0","2003"
"Mammalogy","Primary","Holotype","1","0","0","2003"
"Mammalogy","Primary","Holotype","1","0","0","2003"
"Mammalogy","Primary","Holotype","1","0","0","2003"
"Mammalogy","Primary","Holotype","1","0","0","2003"
"Mammalogy","Primary","Holotype","1","0","0","2003"
"Mammalogy","Primary","Holotype","1","0","0","2003"
"Mammalogy","Primary","Holotype","1","0","0","2003"
"Mammalogy","Primary","Holotype","1","0","0","2003"
"Mammalogy","Primary","Holotype","1","0","0","2003"
"Mammalogy","Primary","Holotype","1","0","0","2003"
"Mammalogy","Primary","Holotype","1","1","1","2003"
"Mammalogy","Primary","Holotype","1","0","0","2003"
"Mammalogy","Primary","Holotype","1","0","0","2003"
"Mammalogy","Primary","Holotype","1","0","0","2003"
"Mammalogy","Primary","Holotype","1","0","0","2003"
"Mammalogy","Primary","Holotype","1","0","0","2003"
"Mammalogy","Primary","Holotype","1","0","0","2003"
"Mammalogy","Primary","Holotype","1","0","0","2003"
"Mammalogy","Primary","Holotype","1","0","0","2003"
"Mammalogy","Primary","Holotype","1","0","0","2003"
"Mammalogy","Primary","Holotype","1","0","0","2003"
"Mammalogy","Primary","Holotype","1","0","0","2003"
"Mammalogy","Primary","Holotype","1","0","0","2003"
"Mammalogy","Primary","Holotype","1","10","1","2003"
"Mammalogy","Primary","Holotype","1","0","0","2003"
"Mammalogy","Primary","Holotype","1","0","0","2003"
"Mammalogy","Primary","Holotype","1","0","0","2003"
"Mammalogy","Primary","Holotype","1","0","0","2003"
"Mammalogy","Primary","Holotype","1","0","0","2003"
"Mammalogy","Primary","Holotype","1","0","0","2003"
"Mammalogy","Primary","Holotype","1","0","0","2003"
"Mammalogy","Primary","Holotype","1","0","0","2004"
"Mammalogy","Primary","Holotype","1","0","0","2004"
"Mammalogy","Primary","Holotype","1","0","0","2004"
"Mammalogy","Primary","Holotype","1","0","0","2004"
"Mammalogy","Primary","Holotype","1","0","0","2004"
"Mammalogy","Primary","Holotype","1","0","0","2004"
"Mammalogy","Primary","Holotype","1","10","1","2004"
"Mammalogy","Primary","Holotype","1","6","1","2004"
"Mammalogy","Primary","Holotype","1","0","0","2004"
"Mammalogy","Primary","Holotype","1","0","0","2004"
"Mammalogy","Primary","Holotype","1","0","0","2004"
"Mammalogy","Primary","Holotype","1","0","0","2004"
"Mammalogy","Primary","Holotype","1","0","0","2004"
"Mammalogy","Primary","Holotype","1","0","0","2004"
"Mammalogy","Primary","Holotype","1","0","0","2004"
"Mammalogy","Primary","Holotype","1","0","0","2004"
"Mammalogy","Primary","Holotype","1","0","0","2004"
"Mammalogy","Primary","Holotype","1","0","0","2004"
"Mammalogy","Primary","Holotype","1","0","0","2004"
"Mammalogy","Primary","Holotype","1","0","0","2004"
"Mammalogy","Primary","Holotype","1","0","0","2004"
"Mammalogy","Primary","Holotype","1","0","0","2004"
"Mammalogy","Primary","Holotype","1","0","0","2004"
"Mammalogy","Primary","Holotype","1","0","0","2004"
"Mammalogy","Primary","Holotype","1","0","0","2004"
"Mammalogy","Primary","Holotype","1","0","0","2004"
"Mammalogy","Primary","Holotype","1","0","0","2004"
"Mammalogy","Primary","Holotype","1","0","0","2004"
"Mammalogy","Primary","Holotype","1","0","0","2004"
"Mammalogy","Primary","Holotype","1","0","0","2004"
"Mammalogy","Primary","Holotype","1","0","0","2004"
"Mammalogy","Primary","Holotype","1","0","0","2004"
"Mammalogy","Primary","Holotype","1","0","0","2004"
"Mammalogy","Primary","Holotype","1","0","0","2004"
"Mammalogy","Primary","Holotype","1","0","0","2004"
"Mammalogy","Primary","Holotype","1","0","0","2004"
"Mammalogy","Primary","Holotype","1","0","0","2004"
"Mammalogy","Primary","Holotype","1","7","1","2004"
"Mammalogy","Primary","Holotype","1","0","0","2004"
"Mammalogy","Primary","Holotype","1","0","0","2004"
"Mammalogy","Primary","Holotype","1","0","0","2004"
"Mammalogy","Primary","Holotype","1","0","0","2004"
"Mammalogy","Primary","Holotype","1","0","0","2004"
"Mammalogy","Primary","Holotype","1","0","0","2004"
"Mammalogy","Primary","Holotype","1","0","0","2004"
"Mammalogy","Primary","Holotype","1","0","0","2004"
"Mammalogy","Primary","Holotype","1","0","0","2004"
"Mammalogy","Primary","Holotype","1","0","0","2004"
"Mammalogy","Primary","Holotype","1","0","0","2004"
"Mammalogy","Primary","Holotype","1","0","0","2004"
"Mammalogy","Primary","Holotype","1","0","0","2004"
"Mammalogy","Primary","Holotype","1","0","0","2004"
"Mammalogy","Primary","Holotype","1","0","0","2004"
"Mammalogy","Primary","Holotype","1","0","0","2004"
"Mammalogy","Primary","Holotype","1","0","0","2004"
"Mammalogy","Primary","Holotype","1","0","0","2004"
"Mammalogy","Primary","Holotype","1","0","0","2004"
"Mammalogy","Primary","Holotype","1","0","0","2004"
"Mammalogy","Primary","Holotype","1","0","0","2004"
"Mammalogy","Primary","Holotype","1","0","0","2004"
"Mammalogy","Primary","Holotype","1","0","0","2004"
"Mammalogy","Primary","Holotype","1","0","0","2004"
"Mammalogy","Primary","Holotype","1","0","0","2004"
"Mammalogy","Primary","Holotype","1","0","0","2004"
"Mammalogy","Primary","Holotype","1","0","0","2004"
"Mammalogy","Primary","Holotype","1","0","0","2004"
"Mammalogy","Primary","Holotype","1","0","0","2004"
"Mammalogy","Primary","Holotype","1","0","0","2004"
"Mammalogy","Primary","Holotype","1","0","0","2004"
"Mammalogy","Primary","Holotype","1","0","0","2004"
"Mammalogy","Primary","Holotype","1","0","0","2004"
"Mammalogy","Primary","Holotype","1","0","0","2004"
"Mammalogy","Primary","Holotype","1","0","0","2004"
"Mammalogy","Primary","Holotype","1","0","0","2004"
"Mammalogy","Primary","Holotype","1","19","1","2004"
"Mammalogy","Primary","Holotype","1","13","1","2004"
"Mammalogy","Primary","Holotype","1","0","0","2004"
"Mammalogy","Primary","Holotype","1","0","0","2004"
"Mammalogy","Primary","Holotype","1","0","0","2004"
"Mammalogy","Primary","Holotype","1","0","0","2004"
"Mammalogy","Primary","Holotype","1","0","0","2004"
"Mammalogy","Primary","Holotype","1","0","0","2004"
"Mammalogy","Primary","Holotype","1","0","0","2004"
"Mammalogy","Primary","Holotype","1","0","0","2004"
"Mammalogy","Primary","Holotype","1","0","0","2004"
"Mammalogy","Primary","Holotype","1","0","0","2004"
"Mammalogy","Primary","Holotype","1","0","0","2004"
"Mammalogy","Primary","Holotype","1","0","0","2004"
"Mammalogy","Primary","Holotype","1","0","0","2004"
"Mammalogy","Primary","Holotype","1","0","0","2004"
"Mammalogy","Primary","Holotype","1","0","0","2004"
"Mammalogy","Primary","Holotype","1","0","0","2004"
"Mammalogy","Primary","Holotype","1","0","0","2004"
"Mammalogy","Primary","Holotype","1","0","0","2004"
"Mammalogy","Primary","Holotype","1","0","0","2004"
"Mammalogy","Primary","Holotype","1","0","0","2004"
"Mammalogy","Primary","Holotype","1","0","0","2004"
"Mammalogy","Primary","Holotype","1","0","0","2004"
"Mammalogy","Primary","Holotype","1","0","0","2005"
"Mammalogy","Primary","Holotype","1","0","0","2005"
"Mammalogy","Primary","Holotype","1","0","0","2005"
"Mammalogy","Primary","Holotype","1","0","0","2005"
"Mammalogy","Primary","Holotype","1","0","0","2005"
"Mammalogy","Primary","Holotype","1","0","0","2005"
"Mammalogy","Primary","Holotype","1","0","0","2005"
"Mammalogy","Primary","Holotype","1","0","0","2005"
"Mammalogy","Primary","Holotype","1","0","0","2005"
"Mammalogy","Primary","Holotype","1","0","0","2005"
"Mammalogy","Primary","Holotype","1","0","0","2005"
"Mammalogy","Primary","Holotype","1","0","0","2005"
"Mammalogy","Primary","Holotype","1","0","0","2005"
"Mammalogy","Primary","Holotype","1","0","0","2005"
"Mammalogy","Primary","Holotype","1","0","0","2005"
"Mammalogy","Primary","Holotype","1","0","0","2005"
"Mammalogy","Primary","Holotype","1","0","0","2005"
"Mammalogy","Primary","Holotype","1","0","0","2005"
"Mammalogy","Primary","Holotype","1","0","0","2005"
"Mammalogy","Primary","Holotype","1","0","0","2005"
"Mammalogy","Primary","Holotype","1","0","0","2005"
"Mammalogy","Primary","Holotype","1","0","0","2005"
"Mammalogy","Primary","Holotype","1","0","0","2005"
"Mammalogy","Primary","Holotype","1","0","0","2005"
"Mammalogy","Primary","Holotype","1","0","0","2005"
"Mammalogy","Primary","Holotype","1","0","0","2005"
"Mammalogy","Primary","Holotype","1","0","0","2005"
"Mammalogy","Primary","Holotype","1","0","0","2005"
"Mammalogy","Primary","Holotype","1","0","0","2005"
"Mammalogy","Primary","Holotype","1","0","0","2005"
"Mammalogy","Primary","Holotype","1","0","0","2005"
"Mammalogy","Primary","Holotype","1","0","0","2005"
"Mammalogy","Primary","Holotype","1","0","0","2005"
"Mammalogy","Primary","Holotype","1","0","0","2005"
"Mammalogy","Primary","Holotype","1","0","0","2005"
"Mammalogy","Primary","Holotype","1","0","0","2005"
"Mammalogy","Primary","Holotype","1","0","0","2005"
"Mammalogy","Primary","Holotype","1","0","0","2005"
"Mammalogy","Primary","Holotype","1","0","0","2005"
"Mammalogy","Primary","Holotype","1","0","0","2005"
"Mammalogy","Primary","Holotype","1","0","0","2005"
"Mammalogy","Primary","Holotype","1","0","0","2005"
"Mammalogy","Primary","Holotype","1","14","1","2005"
"Mammalogy","Primary","Holotype","1","0","0","2005"
"Mammalogy","Primary","Holotype","1","0","0","2005"
"Mammalogy","Primary","Holotype","1","0","0","2005"
"Mammalogy","Primary","Holotype","1","0","0","2005"
"Mammalogy","Primary","Holotype","1","0","0","2005"
"Mammalogy","Primary","Holotype","1","0","0","2005"
"Mammalogy","Primary","Holotype","1","0","0","2005"
"Mammalogy","Primary","Holotype","1","0","0","2005"
"Mammalogy","Primary","Holotype","1","0","0","2005"
"Mammalogy","Primary","Holotype","1","0","0","2005"
"Mammalogy","Primary","Holotype","1","0","0","2005"
"Mammalogy","Primary","Holotype","1","0","0","2005"
"Mammalogy","Primary","Holotype","1","0","0","2005"
"Mammalogy","Primary","Holotype","1","0","0","2005"
"Mammalogy","Primary","Holotype","1","0","0","2005"
"Mammalogy","Primary","Holotype","1","0","0","2005"
"Mammalogy","Primary","Holotype","1","0","0","2005"
"Mammalogy","Primary","Holotype","1","0","0","2005"
"Mammalogy","Primary","Holotype","1","0","0","2005"
"Mammalogy","Primary","Holotype","1","0","0","2005"
"Mammalogy","Primary","Holotype","1","0","0","2005"
"Mammalogy","Primary","Holotype","1","0","0","2005"
"Mammalogy","Primary","Holotype","1","0","0","2005"
"Mammalogy","Primary","Holotype","1","0","0","2005"
"Mammalogy","Primary","Holotype","1","8","1","2005"
"Mammalogy","Primary","Holotype","1","0","0","2005"
"Mammalogy","Primary","Holotype","1","0","0","2005"
"Mammalogy","Primary","Holotype","1","0","0","2005"
"Mammalogy","Primary","Holotype","1","0","0","2005"
"Mammalogy","Primary","Holotype","1","0","0","2005"
"Mammalogy","Primary","Holotype","1","0","0","2005"
"Mammalogy","Primary","Holotype","1","0","0","2005"
"Mammalogy","Primary","Holotype","1","0","0","2005"
"Mammalogy","Primary","Holotype","1","0","0","2005"
"Mammalogy","Primary","Holotype","1","0","0","2005"
"Mammalogy","Primary","Holotype","1","0","0","2005"
"Mammalogy","Primary","Holotype","1","0","0","2005"
"Mammalogy","Primary","Holotype","1","0","0","2006"
"Mammalogy","Primary","Holotype","1","0","0","2006"
"Mammalogy","Primary","Holotype","1","0","0","2006"
"Mammalogy","Primary","Holotype","1","0","0","2006"
"Mammalogy","Primary","Holotype","1","0","0","2006"
"Mammalogy","Primary","Holotype","1","0","0","2006"
"Mammalogy","Primary","Holotype","1","0","0","2006"
"Mammalogy","Primary","Holotype","1","0","0","2006"
"Mammalogy","Primary","Holotype","1","0","0","2006"
"Mammalogy","Primary","Holotype","1","0","0","2006"
"Mammalogy","Primary","Holotype","1","0","0","2006"
"Mammalogy","Primary","Holotype","1","0","0","2006"
"Mammalogy","Primary","Holotype","1","4","1","2006"
"Mammalogy","Primary","Holotype","1","3","1","2006"
"Mammalogy","Primary","Holotype","1","1","1","2006"
"Mammalogy","Primary","Holotype","1","0","0","2006"
"Mammalogy","Primary","Holotype","1","0","0","2006"
"Mammalogy","Primary","Holotype","1","0","0","2006"
"Mammalogy","Primary","Holotype","1","0","0","2006"
"Mammalogy","Primary","Holotype","1","0","0","2006"
"Mammalogy","Primary","Holotype","1","0","0","2006"
"Mammalogy","Primary","Holotype","1","0","0","2006"
"Mammalogy","Primary","Holotype","1","0","0","2006"
"Mammalogy","Primary","Holotype","1","0","0","2006"
"Mammalogy","Primary","Holotype","1","0","0","2006"
"Mammalogy","Primary","Holotype","1","0","0","2006"
"Mammalogy","Primary","Holotype","1","0","0","2006"
"Mammalogy","Primary","Holotype","1","0","0","2006"
"Mammalogy","Primary","Holotype","1","0","0","2006"
"Mammalogy","Primary","Holotype","1","0","0","2007"
"Mammalogy","Primary","Holotype","1","0","0","2007"
"Mammalogy","Primary","Holotype","1","0","0","2007"
"Mammalogy","Primary","Holotype","1","0","0","2007"
"Mammalogy","Primary","Holotype","1","0","0","2007"
"Mammalogy","Primary","Holotype","1","8","1","2009"
"Mammalogy","Primary","Holotype","1","0","0","2009"
"Mammalogy","Primary","Holotype","1","0","0","2009"
"Mammalogy","Primary","Holotype","1","1","1","2009"
"Mammalogy","Primary","Holotype","1","0","0","2009"
"Mammalogy","Primary","Holotype","1","0","0","2009"
"Mammalogy","Primary","Holotype","1","0","0","2009"
"Mammalogy","Primary","Holotype","1","0","0","2009"
"Mammalogy","Primary","Holotype","1","0","0","2009"
"Mammalogy","Primary","Holotype","1","0","0","2009"
"Mammalogy","Primary","Holotype","1","0","0","2009"
"Mammalogy","Primary","Holotype","1","0","0","2009"
"Mammalogy","Primary","Holotype","1","0","0","2009"
"Mammalogy","Primary","Holotype","1","2","1","2012"
"Mammalogy","Primary","Holotype","1","0","0","2012"
"Mammalogy","Primary","Holotype","1","0","0","2012"
"Mammalogy","Primary","Holotype","1","0","0","2012"
"Mammalogy","Primary","Holotype","1","0","0","2012"
"Mammalogy","Primary","Holotype","1","23","1","2012"
"Mammalogy","Primary","Holotype","1","0","0","2012"
"Mammalogy","Primary","Holotype","1","0","0","2012"
"Mammalogy","Primary","Holotype","1","0","0","2012"
"Mammalogy","Secondary","Paratype","1","0","0","2002"
"Mammalogy","Secondary","Paratype","1","0","0","2002"
"Mammalogy","Secondary","Paratype","1","0","0","2003"
"Mammalogy","Secondary","Paratype","1","0","0","2003"
"Mammalogy","Secondary","Paratype","1","0","0","2003"
"Mammalogy","Secondary","Paratype","1","0","0","2003"
"Mammalogy","Secondary","Paratype","1","0","0","2003"
"Mammalogy","Secondary","Paratype","1","0","0","2003"
"Mammalogy","Secondary","Paratype","1","0","0","2003"
"Mammalogy","Secondary","Paratype","1","0","0","2003"
"Mammalogy","Secondary","Paratype","1","0","0","2003"
"Mammalogy","Secondary","Paratype","1","0","0","2003"
"Mammalogy","Secondary","Paratype","1","0","0","2003"
"Mammalogy","Secondary","Paratype","1","0","0","2003"
"Mammalogy","Secondary","Paratype","1","0","0","2003"
"Mammalogy","Secondary","Paratype","1","0","0","2003"
"Mammalogy","Secondary","Paratype","1","0","0","2003"
"Mammalogy","Secondary","Paratype","1","0","0","2003"
"Mammalogy","Secondary","Paratype","1","0","0","2003"
"Mammalogy","Secondary","Paratype","1","0","0","2003"
"Mammalogy","Secondary","Paratype","1","0","0","2003"
"Mammalogy","Secondary","Paratype","1","0","0","2003"
"Mammalogy","Secondary","Paratype","1","0","0","2003"
"Mammalogy","Secondary","Paratype","1","0","0","2003"
"Mammalogy","Secondary","Paratype","1","0","0","2003"
"Mammalogy","Secondary","Paratype","1","0","0","2003"
"Mammalogy","Secondary","Paratype","1","0","0","2003"
"Mammalogy","Secondary","Paratype","1","0","0","2003"
"Mammalogy","Secondary","Paratype","1","0","0","2003"
"Mammalogy","Secondary","Paratype","1","0","0","2003"
"Mammalogy","Secondary","Paratype","1","0","0","2003"
"Mammalogy","Secondary","Paratype","1","0","0","2003"
"Mammalogy","Secondary","Paratype","1","0","0","2003"
"Mammalogy","Secondary","Paratype","1","0","0","2003"
"Mammalogy","Secondary","Paratype","1","0","0","2003"
"Mammalogy","Secondary","Paratype","1","0","0","2003"
